,journalId_i,journalTitle_s,structId_i,docType_s,publicationDateY_i
15,7333,Nature,"[302344, 108959, 711, 194495, 301088, 441569, 2497, 300009, 193738, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 300284, 441569, 521754, 193738, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 300284, 441569, 146005, 50873, 105784, 50873]",ART,2019
16,7333,Nature,"[188658, 3102, 259761, 300366, 441569, 104751, 300009, 244085, 259761, 441569, 451, 300297, 300298, 303623, 341038, 441569, 1744, 441569]",ART,2018
17,7333,Nature,"[525632, 8138, 306545, 160051, 2003, 33804, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 441569, 2497, 300009, 10025, 194495, 301088, 301767, 441569, 2003, 33804, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 441569, 2497, 300009]",ART,2018
18,22137,Hepatology,"[411232, 133089, 1005056, 454310, 300009, 1005052, 413221, 441569, 557826, 332994, 309181, 65266, 132871, 84021, 562203, 450021, 548056, 1063535, 118511, 300009, 307126, 120654]",ART,2021
19,3839,Cell,"[1087101, 410122, 441569, 1003854, 91969, 179332, 34586, 300009, 182201, 117617, 303623, 441569, 1039632, 452158, 13009, 117617, 441569, 1039632, 576143]",ART,2018
20,22137,Hepatology,"[411232, 133089, 1063535, 118511, 300009, 1005056, 454310, 300009, 1005052, 413221, 441569, 557826, 132871, 304304, 565705, 529080, 335120, 93275]",ART,2021
21,11717,Circulation,"[1004695, 303623, 557826, 129346, 1005053, 454310, 300009, 1005052, 413221, 441569, 557826, 558492, 61277, 207728, 300009, 121172, 303171]",ART,2020
22,7333,Nature,"[442467, 47262, 188658, 3102, 259761, 300366, 441569, 104751, 300009, 244085, 259761, 441569]",ART,2020
23,7333,Nature,"[441218, 46674, 160272, 542174, 301492, 564132, 413221, 454310, 300009, 1004921, 413221, 441569, 557826, 1136774, 59704]",ART,2019
24,7333,Nature,"[46674, 542174, 301492, 564132, 413221, 454310, 300009, 1004921, 413221, 441569, 557826, 1136774, 59704]",ART,2020
25,7333,Nature,"[10, 300340, 441569, 2068, 300016, 300045, 300301, 441569, 541810, 413221, 441569, 454730, 116261, 93484, 441569, 118511, 300009]",ART,2018
26,7333,Nature,"[1147020, 542174, 301492, 564132, 413221, 454310, 300009, 1004921, 413221, 441569, 557826, 1136774, 59704, 1004921, 413221, 441569, 557826, 1136774, 59704, 564132, 1166986, 6818, 301088, 441569, 13898, 301492, 564132]",ART,2024
27,3839,Cell,"[106182, 300166, 301247, 303623, 374570, 425779, 425779, 178275, 300166, 301247, 303623, 374570, 441569, 523045, 300166, 301247, 303623, 374570, 425779, 556838, 303688, 556839, 302346, 106187, 301664, 303623, 441569, 303171, 556840, 303063, 556842, 300656, 556843, 1030832, 300656, 128611, 32, 374570, 441569, 92973, 104752, 300009, 221576, 374570, 425779, 355607, 302308, 468254, 468253, 505089, 541354, 303063, 182226, 300298, 303623, 556845, 546301, 556837, 425779, 556846, 303063]",ART,2019
28,90086,eLife,"[56051, 40417, 419361, 487603, 300016, 118511, 300009, 1124248, 118170, 300016, 118511, 300009]",ART,2022
29,90086,eLife,"[300016, 56051, 40417, 419361, 487603, 300016, 118511, 300009, 40417, 419361, 487603, 300016, 575767, 146992]",ART,2020
30,90086,eLife,"[1001887, 6818, 194495, 301088, 441569, 577435, 525218, 2497, 300009, 236921, 172349, 236921]",ART,2020
31,90086,eLife,"[1039632, 199361, 117617, 441569, 1039632, 1151540, 34586, 300009]",ART,2023
32,90086,eLife,"[188658, 3102, 259761, 300366, 441569, 104751, 300009, 244085, 259761, 441569, 244085, 259761, 441569, 531030, 46584, 63395]",ART,2023
33,90086,eLife,"[541812, 300045, 541806, 413221, 441569, 245020, 191652, 67872, 198056, 300045, 303091, 441569, 40508, 419361, 487601, 465913, 300016, 55375, 419361, 465913, 300016, 366034, 414786, 300027, 441569, 541806, 413221, 441569, 1147437, 541806, 413221, 441569, 490899, 105160, 117606, 301232, 172265, 247362, 300009, 411575, 441569, 481355, 302102, 174747, 5247, 255355, 301093, 245080, 1002434, 577435, 473973, 97058, 93263, 111023, 441569, 481355, 302102, 481374, 473973, 97058, 93263, 111023, 441569, 481355, 302102, 1179764, 21582, 55375, 419361, 465913, 300306, 441569, 565014, 101475, 110691, 564132, 198056, 300016, 300306, 303091, 303623, 413221, 419361, 441569, 445543, 451861, 523723, 571286, 1086798, 1083366, 1151362, 541740, 300045, 413221, 441569, 559566, 413221, 441569, 487601, 465913, 300016, 86555, 106195, 34292, 59704, 564132, 303623, 441569, 303623, 441569, 166481, 129822, 173274, 23624, 491655, 419153, 300009, 491231, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 21582, 55375, 419361, 465913, 300016, 300306, 441569, 30303, 450972, 23624]",ART,2022
34,90086,eLife,"[139750, 203123, 59704, 564132, 300026, 301585, 564132, 564132, 300026, 303623, 441569, 1080155, 236317, 442033, 300875, 122562, 91969, 160051, 2003, 33804, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 441569, 2497, 300009, 10025, 194495, 301088, 301767, 441569, 2003, 33804, 126765, 301088, 194495, 301088, 219748, 301088, 301232, 441569]",ART,2021
35,90086,eLife,"[219689, 104751, 300009, 476572, 259761, 302259, 303623, 1042366, 300016, 303623, 419361, 220073, 420786, 266797, 303623, 305148, 420786, 1160426, 1090823, 300027, 441569, 557826, 120654, 491303, 366262]",ART,2022
36,90086,eLife,"[106588, 419153, 300009, 541727, 301888, 413221, 441569, 564132, 56377, 301888]",ART,2018
37,90086,eLife,"[1002316, 3102, 259761, 300366, 441569, 104751, 300009, 1002315, 259761, 577435, 1002315, 259761, 577435, 27730, 91134, 92972, 259761, 409745, 441569, 409749, 27730, 91134, 92972, 259761, 409745, 441569, 104751, 300009, 1002434, 577435, 1002254, 148117, 419361, 577435]",ART,2022
38,90086,eLife,"[188658, 3102, 259761, 300366, 441569, 104751, 300009, 244085, 259761, 441569, 244085, 259761, 441569]",ART,2024
