,docid,acronyme,parent_name
352,525244,RAINBOW,Rennes
353,525247,WIDE,Rennes
354,495900,LS2N - équipe GALLINETTE,Rennes
355,481377,LS2N - équipe ASCOLA,Rennes
356,481379,LS2N - équipe AtlanModels,Rennes
357,1092620,Hybrid,Rennes
358,1092621,MIMETIC,Rennes
359,1092623,RAINBOW,Rennes
360,1092628,LinkMedia,Rennes
361,1092631,Sirocco,Rennes
362,1124637,VIRTUS,Rennes
363,1097219,ERMINE,Rennes
364,1124245,EPICURE,Rennes
365,1002502,FLUMINANCE,Rennes
366,486012,FLUMINANCE,Rennes
367,187367,ASPI,Rennes
368,525245,SIMSMART,Rennes
369,2519,IPSO,Rennes
370,525243,MINGUS,Rennes
371,431027,AtlanModels,Rennes
372,82748,ATLANMOD,Rennes
373,154700,TASC,Rennes
374,86980,ASCOLA,Rennes
375,1185570,DEVINE,Rennes
376,1185608,MAGELLAN,Rennes
377,1185611,SUSHI,Rennes
378,1090129,ODYSSEY,Rennes
379,1096401,MINGUS,Rennes
380,1096400,SIMSMART,Rennes
381,1096402,FLUMINANCE,Rennes
382,1084529,CAPSULE,Rennes
383,581040,I4S,Rennes
384,1092625,EMPENN,Rennes
385,1088569,GALLINETTE,Rennes
386,1088566,STACK,Rennes
387,1164983,SAIRPICO,Rennes
388,1071247,TARAN,Rennes
389,1199950,PIRAT,Rennes
390,29864,SMECI,Sophia
391,30281,ASCLEPIOS,Sophia
392,35546,Edelweiss,Sophia
393,35551,AROBAS,Sophia
394,2446,AxIS,Sophia
395,2447,ACACIA,Sophia
396,2448,AID,Sophia
397,2449,APICS,Sophia
398,2451,CAFE,Sophia
399,2453,CERTILAB,Sophia
400,2454,CHIR,Sophia
401,2457,CROAP,Sophia
402,2459,EPIDAURE,Sophia
403,2460,EVEREST,Sophia
404,2461,GALAAD,Sophia
405,2462,GEOMETRICA,Sophia
406,2463,ICARE,Sophia
407,2464,LEMME,Sophia
408,2465,MAESTRO,Sophia
409,2467,MEIJE,Sophia
410,2468,MERE,Sophia
411,2469,MIAOU,Sophia
412,2471,MISTRAL,Sophia
413,2474,ORION,Sophia
414,2475,PASTIS,Sophia
415,2476,PRISME,Sophia
416,2477,REVES,Sophia
417,2478,ROBOTVIS,Sophia
418,2479,RODEO,Sophia
419,2480,SAFIR,Sophia
420,2481,SAGA,Sophia
421,2482,SINUS,Sophia
422,2484,SMASH,Sophia
423,2485,SYSDYS,Sophia
424,2487,TROPICS,Sophia
425,2488,MIRHO,Sophia
426,2489,OMEGA,Sophia
427,3208,MARELLE,Sophia
428,106416,ATHENA,Sophia
429,103833,PUMAS,Sophia
430,81811,SIDE,Sophia
431,81993,MEVAL,Sophia
432,53163,PULSAR,Sophia
433,51872,ABS,Sophia
434,83586,LOGNET,Sophia
435,74750,GEOMETRICA,Sophia
436,122081,INDES,Sophia
437,141070,MODEMIC,Sophia
438,141072,ZENITH,Sophia
439,206068,TOSCA,Sophia
440,179516,STARS,Sophia
441,179519,SCIPORT,Sophia
442,179520,McTAO,Sophia
443,178910,AYIN,Sophia
444,178917,AROLAG,Sophia
445,175485,EVOLUTION,Sophia
446,241669,HEPHAISTOS,Sophia
447,211134,DIANA,Sophia
448,211140,TITANE,Sophia
449,406918,Ecuador,Sophia
450,407009,GALAAD2,Sophia
451,411861,GRAPHDECO,Sophia
452,388182,GRAPHIK,Sophia
453,412820,ACUMES,Sophia
454,391198,DEMAR,Sophia
455,450087,BIOVISION,Sophia
456,450088,CAMIN,Sophia
457,450089,MATHNEURO,Sophia
458,478608,NEO,Sophia
459,461506,AROMATH,Sophia
460,552049,TOSCA-POST,Sophia
461,540703,CHORALE,Sophia
462,525212,EPIONE,Sophia
463,525241,FACTAS,Sophia
464,573775,STAMP,Sophia
465,580534,AYANA,Sophia
466,1050574,CAMIN,Sophia
467,1100625,GRAPHIK,Sophia
468,1164868,EVOLUTION,Sophia
469,1178797,OLAS,Sophia
470,81805,Systèmes et jeux en dimension finie,Sophia
471,81423,MEFISTO,Sophia
472,35884,TOSCA,Sophia
473,1100621,ZENITH,Sophia
474,1151540,CRONOS,Sophia
475,2455,COMORE,Sophia
476,147973,BIOCORE,Sophia
477,1071285,COMPO,Sophia
478,175461,FOCUS,Sophia
479,1190301,EVERGREEN,Sophia
480,1100745,LEMON,Sophia
481,241677,LEMON,Sophia
482,478607,KAIROS,Sophia
483,2450,ARIANA,Sophia
484,2483,SLOOP,Sophia
485,2472,OASIS,Sophia
486,2466,MASCOTTE,Sophia
487,2445,AOSTE,Sophia
488,178918,WIMMICS,Sophia
489,1069625,ACENTAURI,Sophia
490,211142,COATI,Sophia
491,179332,MORPHEME,Sophia
492,241684,SCALE,Sophia
493,1169570,MACBES,Sophia
494,1102911,BOREAL,Sophia
495,45195,NACHOS,Sophia
496,168891,COFFEE,Sophia
497,217017,CASTOR,Sophia
498,1001089,MAASAI,Sophia
499,580533,ATLANTIS,Sophia
500,2490,OPALE,Sophia
501,203445,NEUROMATHCOMP,Sophia
502,1171444,SPLITS,Sophia
503,2470,MIMOSA,Sophia
504,2486,TICK,Sophia
505,2473,ODYSSEE,Sophia
506,81350,SECOIA,Sophia
507,19641,COPRIN,Sophia
508,21925,VIRTUAL PLANTS,Sophia
509,2452,CAIMAN,Sophia
510,541741,BIOCORE,Sophia
511,1002318,BIOCORE,Sophia
512,87563,NEUROMATHCOMP,Sophia
513,1058077,CALISTO,Sophia
514,1114331,PREMEDICAL,Sophia
515,568599,CAMBIUM,Paris
516,543939,KOPERNIC,Paris
517,500328,CaGE,Paris
518,454686,SECRET,Paris
519,551849,REO-POST,Paris
520,1090800,INBIO,Paris
521,1149341,Whisper,Paris
522,1124151,ASTRA,Paris
523,576612,COSMIQ,Paris
524,461293,TAPDANCE,Paris
525,482775,ALMAnaCH,Paris
526,454687,SERENA,Paris
527,486837,AOSTE2,Paris
528,480279,RAP2,Paris
529,478525,CLIME2,Paris
530,454683,Regal,Paris
531,454675,PolSys,Paris
532,454685,RITS,Paris
533,454682,RAP,Paris
534,454684,REO,Paris
535,454680,PROSECCO,Paris
536,454667,Mycenae,Paris
537,454663,MUSE,Paris
538,454664,MuTant,Paris
539,454314,ALPAGE,Paris
540,454317,ANGE,Paris
541,454321,CLIME,Paris
542,454324,EVA,Paris
543,454413,GALLIUM,Paris
544,454654,MAMBA,Paris
545,454659,MIMOVE,Paris
546,1097259,AIO,Paris
547,454689,Whisper,Paris
548,1005056,MAMBA,Paris
549,541722,DELYS,Paris
550,541723,PolSys,Paris
551,541725,Whisper,Paris
552,1005055,REO,Paris
553,574386,InBio,Paris
554,482771,InBio,Paris
555,1005053,COMMEDIA,Paris
556,1005054,CaGE,Paris
557,1005057,ANGE,Paris
558,1176626,EPIMETHEE,Paris
559,454319,ARAMIS,Paris
560,542032,ARAMIS,Paris
561,1176621,NERV,Paris
562,1151356,PICUBE,Paris
563,1005019,PI.R2,Paris
564,1005018,GANG,Paris
565,454672,PI.R2,Paris
566,454653,GANG,Paris
567,542174,QUANTIC,Paris
568,454660,MOKAPLAN,Paris
569,1067737,HeKA,Paris
570,454658,MATHRISK,Paris
571,454655,MATHERIALS,Paris
572,454312,ALPINES,Paris
573,542021,ALPINES,Paris
574,1005058,ALPINES,Paris
575,454688,SIERRA,Paris
576,454320,CASCADE,Paris
577,454670,Parkas,Paris
578,542022,ANGE,Paris
579,542023,MAMBA,Paris
580,542024,REO,Paris
581,542025,CaGE,Paris
582,562664,COMMEDIA,Paris
583,454669,OURAGAN,Paris
584,454681,QUANTIC,Paris
585,505215,CoML,Paris
586,454692,WILLOW,Paris
587,454323,DYOGENE,Paris
588,454318,ANTIQUE,Paris
589,478610,VALDA,Paris
590,1176625,ARGO,Paris
591,1200232,MUSCLEES,Paris
592,25978,OPERA,Grenoble
593,2370,AIRELLE,Grenoble
594,2371,ARENAIRE,Grenoble
595,2372,ARES,Grenoble
596,2373,BIP,Grenoble
597,2374,BIPOP,Grenoble
598,2375,COMPSYS,Grenoble
599,2376,EXMO,Grenoble
600,2377,GRAAL,Grenoble
601,2381,MISTIS [?-2006],Grenoble
602,2382,NUMOPT,Grenoble
603,2385,REMAP,Grenoble
604,2386,RESO,Grenoble
605,2387,ROMANS,Grenoble
606,2389,SHERPA,Grenoble
607,2390,SIRAC,Grenoble
608,2391,SPECTRE,Grenoble
609,2404,IDOPT,Grenoble
610,31951,MOISE,Grenoble
611,55137,NANO-D,Grenoble
612,55519,RESO,Grenoble
613,44839,MOISE,Grenoble
614,44896,ARTIS,Grenoble
615,44907,BIPOP,Grenoble
616,44938,EVASION,Grenoble
617,44942,LEAR,Grenoble
618,44946,MISTIS,Grenoble
619,44969,PERCEPTION,Grenoble
620,44971,EXMO,Grenoble
621,44977,PRIMA,Grenoble
622,56309,IBIS,Grenoble
623,45516,NECS,Grenoble
624,75068,AMAZONES,Grenoble
625,75069,A4RES,Grenoble
626,75070,LICIT,Grenoble
627,74244,SHOOD,Grenoble
628,93134,DNET,Grenoble
629,92929,SWING,Grenoble
630,147723,MORPHEO,Grenoble
631,117367,COMBINING,Grenoble
632,108956,STEEP,Grenoble
633,108959,DRACULA,Grenoble
634,209151,SPADES,Grenoble
635,205728,DANTE,Grenoble
636,205730,TYREX,Grenoble
637,179717,AVALON,Grenoble
638,179718,ROMA,Grenoble
639,184333,URBANET,Grenoble
640,174814,IMAGINE,Grenoble
641,174816,MAVERICK,Grenoble
642,178327,ARIC,Grenoble
643,178328,SOCRATE,Grenoble
644,178330,CONVECS,Grenoble
645,241375,CTRL-A,Grenoble
646,241382,GCG,Grenoble
647,218317,DICE,Grenoble
648,411700,AIRSEA,Grenoble
649,417638,CHROMA,Grenoble
650,417639,ERABLE,Grenoble
651,408854,CORSE,Grenoble
652,445105,POLARIS,Grenoble
653,445110,DATAMOVE,Grenoble
654,454594,PERVASIVE INTERACTION,Grenoble
655,477131,MOEX,Grenoble
656,477132,AGORA,Grenoble
657,528454,CASH,Grenoble
658,545615,MARACAS,Grenoble
659,545616,NANO-D-POST [2018-2020],Grenoble
660,525218,MOSAIC,Grenoble
661,525227,PERVASIVE,Grenoble
662,1043349,NECS-POST,Grenoble
663,1043302,PERVASIVE,Grenoble
664,1043304,CORSE,Grenoble
665,1043306,DATAMOVE,Grenoble
666,1043307,MOEX,Grenoble
667,1043323,CONVECS,Grenoble
668,1043324,CTRL-A,Grenoble
669,1043326,TYREX,Grenoble
670,1043327,POLARIS,Grenoble
671,1043078,ELAN,Grenoble
672,1043079,TRIPOP,Grenoble
673,1043080,STATIFY,Grenoble
674,1043084,Thoth,Grenoble
675,1043089,IMAGINE,Grenoble
676,1043090,MAVERICK,Grenoble
677,1043091,MORPHEO,Grenoble
678,1043092,PERCEPTION,Grenoble
679,1043096,MISTIS,Grenoble
680,1043097,ANIMA,Grenoble
681,1042443,CORSE,Grenoble
682,1042444,CONVECS,Grenoble
683,1042445,CTRL-A,Grenoble
684,1042446,SPADES,Grenoble
685,1042449,TYREX,Grenoble
686,1042450,POLARIS,Grenoble
687,481741,DATASPHERE,Grenoble
688,1063531,DANCE,Grenoble
689,1079003,DANTE,Grenoble
690,1079005,DANTE,Grenoble
691,1073011,ROBOTLEARN,Grenoble
692,1079998,MICROCOSME,Grenoble
693,2401,APACHE,Grenoble
694,1042718,NECS,Grenoble
695,552303,NECS-POST,Grenoble
696,179916,NUMED,Grenoble
697,44972,I3D,Grenoble
698,2402,MESCAL,Grenoble
699,1043094,STEEP,Grenoble
700,44973,MOAIS,Grenoble
701,44462,E-MOTION,Grenoble
702,37506,MESCAL,Grenoble
703,2403,MOAIS,Grenoble
704,2405,SARDES,Grenoble
705,44976,POP ART,Grenoble
706,44983,WAM,Grenoble
707,2384,POP ART,Grenoble
708,109811,VASY,Grenoble
709,44979,VASY,Grenoble
710,2393,WAM,Grenoble
711,44978,SARDES,Grenoble
712,1043093,AIRSEA,Grenoble
713,1043325,SPADES,Grenoble
714,2380,IS2,Grenoble
715,89319,BAMBOO,Grenoble
716,2378,HELIX,Grenoble
717,160051,BEAGLE,Grenoble
718,2388,SHARP,Grenoble
719,2400,PRIMA,Grenoble
720,156379,PERCEPTION,Grenoble
721,2399,MOVI,Grenoble
722,2398,LEAR,Grenoble
723,2395,E-MOTION,Grenoble
724,2396,EVASION,Grenoble
725,2394,ARTIS,Grenoble
726,2397,iMAGIS,Grenoble
727,255563,KALiFFE,Grenoble
728,445108,Thoth,Grenoble
729,525246,TRIPOP,Grenoble
730,1042482,IMAGINE,Grenoble
731,1042486,MAVERICK,Grenoble
732,1042488,MORPHEO,Grenoble
733,1042500,PERCEPTION,Grenoble
734,1042514,STEEP,Grenoble
735,1042515,BIPOP,Grenoble
736,1042518,NANO-D,Grenoble
737,1042521,MISTIS,Grenoble
738,1042505,AIRSEA,Grenoble
739,525210,ELAN,Grenoble
