,Conference,Publication Date,Team Acronym,Publication Count
76,CDC 2018 - 57th IEEE Conference on Decision and Control,2018,POLARIS,1
77,ICML 2022 - 39th International Conference on Machine Learning,2022,SIERRA,3
78,ICML 2022 - 39th International Conference on Machine Learning,2022,POLARIS,3
79,ICML 2022 - 39th International Conference on Machine Learning,2022,DYOGENE,2
80,ICML 2022 - 39th International Conference on Machine Learning,2022,Thoth,2
81,ICML 2022 - 39th International Conference on Machine Learning,2022,ZENITH,2
82,ICML 2022 - 39th International Conference on Machine Learning,2022,PARIETAL,1
83,ICML 2022 - 39th International Conference on Machine Learning,2022,Flowers,1
84,ICML 2022 - 39th International Conference on Machine Learning,2022,MAGNET,1
85,ICML 2022 - 39th International Conference on Machine Learning,2022,PANAMA,1
86,ICML 2022 - 39th International Conference on Machine Learning,2022,LACODAM,1
87,ICML 2022 - 39th International Conference on Machine Learning,2022,LinkMedia,1
88,International Conference on Machine Learning,2020,Scool,4
89,International Conference on Machine Learning,2020,SEQUEL,2
90,International Conference on Machine Learning,2021,Scool,3
91,International Conference on Machine Learning,2021,MODAL,1
92,International Conference on Machine Learning,2019,SEQUEL,2
93,International Conference on Machine Learning,2019,SIERRA,1
94,International Conference on Machine Learning,2023,MAGNET,1
95,International Conference on Machine Learning,2023,DATAMOVE,1
96,International Conference on Machine Learning,2023,MIND,1
97,International Conference on Machine Learning,2018,SEQUEL,1
98,EUSIPCO 2020 - 28th European Signal Processing Conference,2021,MULTISPEECH,3
99,EUSIPCO 2020 - 28th European Signal Processing Conference,2021,OPIS,3
100,EUSIPCO 2020 - 28th European Signal Processing Conference,2021,SIMSMART,2
101,EUSIPCO 2020 - 28th European Signal Processing Conference,2021,PARIETAL,1
102,EUSIPCO 2020 - 28th European Signal Processing Conference,2021,PANAMA,1
103,EUSIPCO 2020 - 28th European Signal Processing Conference,2021,I4S,1
104,EUSIPCO 2020 - 28th European Signal Processing Conference,2020,CQFD,2
105,EUSIPCO 2020 - 28th European Signal Processing Conference,2020,OPIS,1
106,ICML 2021 - 38th International Conference on Machine Learning,2021,POLARIS,3
107,ICML 2021 - 38th International Conference on Machine Learning,2021,DATASHAPE,2
108,ICML 2021 - 38th International Conference on Machine Learning,2021,SIERRA,2
109,ICML 2021 - 38th International Conference on Machine Learning,2021,MAASAI,2
110,ICML 2021 - 38th International Conference on Machine Learning,2021,PARIETAL,1
111,ICML 2021 - 38th International Conference on Machine Learning,2021,ZENITH,1
112,ICML 2021 - 38th International Conference on Machine Learning,2021,BIGS,1
113,ICML 2021 - 38th International Conference on Machine Learning,2021,DANTE,1
114,ICML 2021 - 38th International Conference on Machine Learning,2021,ERABLE,1
115,ICML 2021 - 38th International Conference on Machine Learning,2021,EPIONE,1
116,ICML 2021 - 38th International Conference on Machine Learning,2021,Scool,1
117,ICML 2021 - 38th International Conference on Machine Learning,2021,Thoth,1
118,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,INOCS,6
119,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,CHROMA,3
120,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,STEEP,3
121,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,TADAAM,1
122,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,LARSEN,1
123,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,TROPICAL,1
124,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,DYOGENE,1
125,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,NEO,1
126,ROADEF 2022 - 23ème congrès annuel de la Société Française de Recherche Opérationnelle et d'Aide à la Décision,2022,MOCQUA,1
127,ICCV 2019 - International Conference on Computer Vision,2019,Thoth,5
128,ICCV 2019 - International Conference on Computer Vision,2019,WILLOW,5
129,ICCV 2019 - International Conference on Computer Vision,2019,MORPHEO,2
130,ICCV 2019 - International Conference on Computer Vision,2019,RITS,1
131,ICCV 2019 - International Conference on Computer Vision,2019,CHORALE,1
132,ICCV 2019 - International Conference on Computer Vision,2020,STEEP,1
